rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
229,"Urumqi, China",97,209,223,112,82,53,59,55,52,49,65,76,126,43.8244074,87.6139038
230,"Xintai, China",97,161,118,147,121,65,59,46,50,61,81,104,145,35.9094557,117.7620286
231,"Bhilwara, India",97,125,110,84,82,91,70,71,90,65,101,154,118,25.48911765,74.33007256947698
232,"Jhansi, India",97,149,95,69,83,91,70,54,66,61,117,189,118,25.529855,78.65278023546288
233,"Mahesana, India",97,133,163,101,109,77,68,75,66,62,115,118,75,23.6015557,72.3867981
234,"Patiala, India",97,130,105,85,91,84,68,50,76,65,98,150,158,30.20927775,76.33972313649818
235,"Haldia, India",96,183,111,81,72,48,48,28,60,40,87,191,204,22.028124,88.0632655
236,"Nagpur, India",96,171,120,107,85,79,68,40,57,53,108,142,125,21.1498134,79.0820556
237,"Orchha, India",96,175,101,70,78,79,64,44,62,58,123,190,110,25.3528706,78.6402465
238,"Fenyang, China",96,122,102,141,154,78,72,65,71,64,90,87,109,37.2683004,111.7830029
239,"Huaibei, China",96,163,115,142,113,62,59,42,51,54,95,116,140,33.9566098,116.7928916
240,"Huayin, China",96,180,120,124,131,51,50,54,66,57,62,118,141,34.5675163,110.0920915
241,"Jinan, China",96,154,114,146,139,75,62,51,52,64,79,92,128,36.6519754,117.1138479
242,"Jinzhou, China",96,129,126,175,127,77,65,56,45,59,85,81,123,41.1087113,121.1186159
243,"Xinzhou, China",96,136,148,135,133,71,58,55,55,60,70,88,148,38.4139173,112.730463
244,"Ajmer, India",95,112,113,80,84,94,75,75,100,69,92,127,118,26.4691,74.639
245,"Kothapet, India",95,142,125,97,91,77,79,49,60,62,98,134,128,18.0271389,79.6531104
246,"Bam, Iran",95,54,106,58,70,103,127,180,119,100,89,75,55,29.1059864,58.3565663
247,"Ambala, India",94,148,111,73,67,85,56,52,65,64,102,151,156,30.3843674,76.770421
248,"Betma, India",94,135,108,91,95,69,76,57,74,68,110,106,135,22.6875139,75.6116714
249,"Brahmapur, India",94,137,117,106,90,60,72,39,59,51,85,134,175,19.3098134,84.7971562
250,"Indore, India",94,124,103,85,82,78,80,65,65,61,112,122,145,22.7203616,75.8681996
251,"Khed, India",94,114,128,94,57,33,73,107,125,125,125,57,92,18.8515893,73.83618598043944
252,"Anqiu, China",94,143,109,143,114,74,55,41,43,60,97,102,145,36.4794705,119.2129818
253,"Dali, China",94,182,128,127,105,54,56,53,55,55,60,114,141,25.6074778,100.2651597
254,"Huludao, China",94,125,118,160,120,81,66,61,52,59,78,83,123,40.7515443,120.8404789
255,"Kuiju, China",94,131,117,145,128,77,58,46,46,58,88,96,143,36.8456023,119.4036439
256,"Wuyuan, China",94,119,83,159,182,109,60,65,68,60,71,76,74,29.323384,117.7542738
257,"Bloemfontein, South Africa",94,45,29,37,121,139,174,155,171,125,57,45,34,-29.116395,26.215496
258,"Igdir, Turkey",93,301,84,73,41,47,49,46,59,47,45,136,193,40.313278,32.679981
259,"Belampalli, India",93,135,118,93,87,77,78,49,62,63,95,129,128,,
260,"Bhavnagar, India",93,122,160,106,80,74,63,51,52,54,116,129,103,21.7718836,72.1416449
261,"Jincheng, China",93,136,148,133,116,65,60,55,62,61,93,85,99,35.4913132,112.8454497
262,"Laiwu, China",93,138,112,147,126,65,58,47,47,55,75,108,137,36.2150252,117.6698329
263,"Lianshan, China",93,123,118,166,129,84,64,54,44,56,80,78,116,24.5730213,112.0885277
264,"Shashi, China",93,225,165,113,90,58,41,34,47,44,65,100,128,30.3144274,112.2524983
265,"Xinan, China",93,151,106,147,111,69,55,37,46,56,92,112,139,26.7248537,119.8562735
266,"Gaomi, China",92,135,107,131,114,80,58,43,43,56,88,100,144,36.3654065,119.8005385
267,"Hangu, China",92,117,120,170,125,72,53,46,41,62,93,84,120,29.5223,106.367
268,"Qingzhou, China",92,134,110,142,132,74,59,50,50,66,75,89,126,36.6843271,118.4738118
269,"Kirtipur, Nepal",92,176,141,153,184,79,48,25,30,36,54,78,99,27.676664,85.2782438
270,"Adilabad, India",91,142,114,95,81,73,72,44,59,58,96,131,124,19.6759452,78.5339895
271,"Bareilly, India",91,116,94,80,101,76,64,50,60,53,105,160,134,28.45823445,79.40474517998476
272,"Budaun, India",91,121,94,78,104,81,69,52,62,56,108,159,113,28.0367001,79.1234
273,"Chanda, India",91,147,107,87,85,73,73,47,58,60,91,134,131,22.789550849999998,75.91970893825952
274,"Shahjanpur, India",91,120,93,78,102,80,68,52,62,56,108,160,112,,
275,"Deyang, China",91,181,131,91,79,64,55,53,47,51,66,115,159,31.1244028,104.39013
276,"Nanyang, China",91,205,157,122,107,47,39,34,38,38,74,99,128,33.0010496,112.5292693
277,"Shengli, China",91,121,115,149,119,74,58,51,48,58,82,86,125,31.1327366,115.4625326
278,"Weifang, China",91,125,108,142,117,74,57,46,47,62,80,91,139,36.7071591,119.1557441
279,"Binxian, China",90,158,115,171,130,45,51,53,50,48,54,101,105,35.08361535,108.00871435751833
280,"Jinchang, China",90,139,87,148,169,112,91,92,69,120,-,26,22,38.5206719,102.185973
